company name,sector,type,services provided,headquarters location,net zero pledge year
BASF SE,Basic Materials,Chemicals,Chemical Manufacturing,"Ludwigshafen, Germany",2030
"DuPont de Nemours, Inc.",Basic Materials,Chemicals,Chemical Manufacturing,"Wilmington, DE, USA",2030
LyondellBasell Industries NV,Basic Materials,Chemicals,Chemical Manufacturing,"Houston, TX, USA",2050
Air Liquide S.A.,Basic Materials,Chemicals,"Industrial Gases, Chemicals","Paris, France",2050
BHP Group Limited,Basic Materials,Mining,"Mining, Metals, Petroleum","Melbourne, Australia",2030
Rio Tinto Group,Basic Materials,Mining,"Mining, Metals","London, UK",2050
Vale S.A.,Basic Materials,Mining,"Mining, Metals","Rio de Janeiro, Brazil",2040
Freeport-McMoRan Inc.,Basic Materials,Mining,"Mining, Copper, Gold","Phoenix, AZ, USA",2050
Newmont Corporation,Basic Materials,Mining,"Mining, Gold","Denver, CO, USA",2030
Barrick Gold Corporation,Basic Materials,Mining,"Mining, Gold","Toronto, Canada",2040
Alcoa Corporation,Basic Materials,Mining,"Mining, Aluminum","Pittsburgh, PA, USA",2030
Anglo American plc,Basic Materials,Mining,"Mining, Metals","London, UK",2030
Glencore plc,Basic Materials,Mining,"Mining, Metals, Energy","Baar, Switzerland",2050
Teck Resources Limited,Basic Materials,Mining,"Mining, Metals, Energy","Vancouver, Canada",2040
"American Airlines Group, Inc.",Industrial,Transportation,Airline Services,"Fort Worth, TX, USA",2040
Boeing Company,Industrial,Aerospace & Defense,"Aerospace Manufacturing, Defense","Chicago, IL, USA",2030
Lockheed Martin Corporation,Industrial,Aerospace & Defense,"Aerospace, Defense, Security","Bethesda, MD, USA",2050
Northrop Grumman Corporation,Industrial,Aerospace & Defense,"Aerospace, Defense, Technology","Falls Church, VA, USA",2030
Raytheon Technologies Corp.,Industrial,Aerospace & Defense,"Aerospace, Defense, Technology","Waltham, MA, USA",2050
General Dynamics Corporation,Industrial,Aerospace & Defense,"Aerospace, Defense, Marine Systems","Reston, VA, USA",2030
United Technologies Corp.,Industrial,Aerospace & Defense,"Aerospace, Defense, Technology","Farmington, CT, USA",2050
"Delta Air Lines, Inc.",Industrial,Transportation,"Airline, Aviation","Atlanta, GA, USA",2050
"United Parcel Service, Inc.",Industrial,Transportation,"Package Delivery, Logistics","Atlanta, GA, USA",2050
FedEx Corporation,Industrial,Transportation,"Package Delivery, Logistics","Memphis, TN, USA",2040
The Boeing Company,Industrial,Transportation,"Aerospace, Aviation","Chicago, IL, USA",2030
General Electric Company,Industrial,Commercial & Services,"Diversified Manufacturing, Services","Boston, MA, USA",2040
3M Company,Industrial,Commercial & Services,"Diversified Manufacturing, Services","St. Paul, MN, USA",2030
Caterpillar Inc.,Industrial,Commercial & Services,"Construction, Mining Equipment","Deerfield, IL, USA",2050
Honeywell International Inc.,Industrial,Commercial & Services,"Diversified Manufacturing, Services","Charlotte, NC, USA",2050
Siemens AG,Industrial,Commercial & Services,"Diversified Manufacturing, Services","Munich, Germany",2040
Microsoft Corporation,Technology ,Software,"Software Development, Cloud Services","Redmond, WA, USA",2050
Apple Inc.,Technology ,Computers,"Consumer Electronics, Software","Cupertino, CA, USA",2050
Google LLC (Alphabet Inc.),Technology ,Software,"Internet Services, Advertising","Mountain View, CA, USA",2040
"Amazon.com, Inc.",Technology ,Software,"E-commerce, Cloud Computing","Seattle, WA, USA",2050
IBM (International Business Machines Corporation),Technology ,Software,"IT Services, Cloud, AI","Armonk, NY, USA",2050
Intel Corporation,Technology ,Semiconductors,Semiconductor Manufacturing,"Santa Clara, CA, USA",2030
NVIDIA Corporation,Technology ,Semiconductors,Graphics Processing Units (GPUs),"Santa Clara, CA, USA",2030
"Advanced Micro Devices, Inc.",Technology ,Semiconductors,Semiconductor Manufacturing,"Santa Clara, CA, USA",2030
Qualcomm Incorporated,Technology ,Semiconductors,"Wireless Technologies, Semiconductors","San Diego, CA, USA",2040
Broadcom Inc.,Technology ,Semiconductors,"Semiconductors, Connectivity Solutions","San Jose, CA, USA",2040
Adobe Inc.,Technology ,Software,"Creative Software, Document Management","San Jose, CA, USA",2030
Oracle Corporation,Technology ,Software,"Database Software, Cloud Services","Redwood City, CA, USA",2040
SAP SE,Technology ,Software,"Enterprise Software, Cloud Solutions","Walldorf, Germany",2040
Dell Technologies Inc.,Technology ,Computers,"Computer Hardware, IT Services","Round Rock, TX, USA",2050
HP Inc.,Technology ,Computers,"Personal Computers, Printers","Palo Alto, CA, USA",2030
"Micron Technology, Inc.",Technology ,Semiconductors,Semiconductor Manufacturing,"Boise, ID, USA",2030
